"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C0025290","umls:C0025290","Aseptic Meningitis","2/113","14/17381",0.00362272726136845,0.0198673131976957,0.0132497332958531,"3569/3576",2
"umls:C0039494","umls:C0039494","Temporomandibular Joint Disorders","2/113","14/17381",0.00362272726136845,0.0198673131976957,0.0132497332958531,"6352/3569",2
"umls:C0206752","umls:C0206752","Alphavirus Infections","2/113","14/17381",0.00362272726136845,0.0198673131976957,0.0132497332958531,"3569/972",2
"umls:C0393591","umls:C0393591","AICARDI-GOUTIERES SYNDROME","2/113","14/17381",0.00362272726136845,0.0198673131976957,0.0132497332958531,"25939/64135",2
"umls:C2921627","umls:C2921627","Clinically isolated syndrome","2/113","14/17381",0.00362272726136845,0.0198673131976957,0.0132497332958531,"3456/6376",2
"umls:C1367654","umls:C1367654","Marginal Zone B-Cell Lymphoma","3/113","48/17381",0.00374098067416219,0.0204506943520867,0.0136387967101452,"330/4005/7128",3
"umls:C0151744","umls:C0151744","Myocardial Ischemia","9/113","476/17381",0.00388168160482316,0.0211503071182771,0.0141053762858612,"3627/91543/3569/6376/6890/3576/3659/4599/2920",9
"umls:C1623038","umls:C1623038","Cirrhosis","8/113","389/17381",0.00389352343582685,0.0211503071182771,0.0141053762858612,"3627/6352/3569/834/6772/8651/43/3576",8
"umls:C0001883","umls:C0001883","Airway Obstruction","3/113","49/17381",0.00396627877875683,0.0214777737642115,0.0143237674532397,"3627/6352/3576",3
"umls:C0002895","umls:C0002895","Anemia, Sickle Cell","6/113","232/17381",0.00409045003958605,0.0220807365773266,0.0147258900946655,"6352/3569/6376/330/6737/3576",6
"umls:C0009812","umls:C0009812","Constitutional Symptom","2/113","15/17381",0.00416237675331892,0.0222596669851403,0.0148452207841482,"3627/3576",2
"umls:C0031036","umls:C0031036","Polyarteritis Nodosa","2/113","15/17381",0.00416237675331892,0.0222596669851403,0.0148452207841482,"25939/6376",2
"umls:C0037285","umls:C0037285","Skin Manifestations","2/113","15/17381",0.00416237675331892,0.0222596669851403,0.0148452207841482,"10673/90865",2
"umls:C0032269","umls:C0032269","Pneumococcal Infections","3/113","50/17381",0.00419967330408338,0.0223144063741194,0.0148817270946661,"6352/3569/3576",3
"umls:C0085435","umls:C0085435","Arthritis, Reactive","3/113","50/17381",0.00419967330408338,0.0223144063741194,0.0148817270946661,"3669/6772/6891",3
"umls:C0011853","umls:C0011853","Diabetes Mellitus, Experimental","9/113","482/17381",0.00421148784645111,0.0223144063741194,0.0148817270946661,"3569/6376/8743/834/5698/6364/6772/64078/43",9
"umls:C0971858","umls:C0971858","Arthritis, Collagen-Induced","5/113","163/17381",0.00424539844064148,0.0224250801067013,0.0149555366443005,"3620/10673/3569/834/3965",5
"umls:C0005940","umls:C0005940","Bone Diseases","5/113","164/17381",0.00435663338737067,0.0229422712325758,0.0153004571885447,"6352/3569/8743/3576/1230",5
"umls:C0020445","umls:C0020445","Hypercholesterolemia, Familial","5/113","167/17381",0.00470281553188705,0.0242044571660274,0.0161422230992945,"6352/10673/3569/8743/3576",5
"umls:C0006846","umls:C0006846","Cutaneous Candidiasis","2/113","16/17381",0.00473687692505878,0.0242044571660274,0.0161422230992945,"3627/7098",2
"umls:C0020500","umls:C0020500","Hyperoxaluria","2/113","16/17381",0.00473687692505878,0.0242044571660274,0.0161422230992945,"6352/3569",2
"umls:C0022972","umls:C0022972","Lambert-Eaton Myasthenic Syndrome","2/113","16/17381",0.00473687692505878,0.0242044571660274,0.0161422230992945,"3669/43",2
"umls:C0033839","umls:C0033839","Pseudorabies","2/113","16/17381",0.00473687692505878,0.0242044571660274,0.0161422230992945,"3456/3569",2
"umls:C0343378","umls:C0343378","Helicobacter-associated gastritis","2/113","16/17381",0.00473687692505878,0.0242044571660274,0.0161422230992945,"6364/3576",2
"umls:C0578870","umls:C0578870","Chronic idiopathic urticaria","2/113","16/17381",0.00473687692505878,0.0242044571660274,0.0161422230992945,"3569/3669",2
"umls:C0745287","umls:C0745287","infertility tubal factor","2/113","16/17381",0.00473687692505878,0.0242044571660274,0.0161422230992945,"3569/3592",2
"umls:C1619738","umls:C1619738","Immune Reconstitution Inflammatory Syndrome","2/113","16/17381",0.00473687692505878,0.0242044571660274,0.0161422230992945,"3569/3576",2
"umls:C1719494","umls:C1719494","PERIODONTITIS, LOCALIZED AGGRESSIVE","2/113","16/17381",0.00473687692505878,0.0242044571660274,0.0161422230992945,"51056/3576",2
"umls:C0085605","umls:C0085605","Liver Failure","4/113","105/17381",0.00489261035303436,0.0249262574790685,0.0166235997980707,"282618/3569/8651/83666",4
"umls:C0014868","umls:C0014868","Esophagitis","3/113","53/17381",0.00494927480047375,0.0250666211953406,0.0167172099297736,"3569/7098/3576",3
"umls:C0751713","umls:C0751713","Inclusion Body Myopathy, Sporadic","3/113","53/17381",0.00494927480047375,0.0250666211953406,0.0167172099297736,"6373/3627/7098",3
"umls:C0279000","umls:C0279000","Liver and Intrahepatic Biliary Tract Carcinoma","9/113","496/17381",0.00506658236224811,0.0255854980287133,0.0170632546911952,"6373/54739/3569/60489/8743/5371/3576/3659/4496",9
"umls:C0276275","umls:C0276275","Disease due to Parvoviridae","3/113","54/17381",0.00521588120495292,0.026262419400377,0.0175147011222026,"3569/6772/5371",3
"umls:C0017411","umls:C0017411","Female Genital Diseases","2/113","17/17381",0.00534575998643202,0.0263011391332455,0.0175405237449544,"3569/3576",2
"umls:C0017677","umls:C0017677","Glossitis, Benign Migratory","2/113","17/17381",0.00534575998643202,0.0263011391332455,0.0175405237449544,"3627/3569",2
"umls:C0029182","umls:C0029182","orbit (eye disorders)","2/113","17/17381",0.00534575998643202,0.0263011391332455,0.0175405237449544,"3569/43",2
"umls:C0039984","umls:C0039984","Thoracic Outlet Syndrome","2/113","17/17381",0.00534575998643202,0.0263011391332455,0.0175405237449544,"8743/5366",2
"umls:C0085106","umls:C0085106","Familial benign pemphigus","2/113","17/17381",0.00534575998643202,0.0263011391332455,0.0175405237449544,"3569/3576",2
"umls:C0152268","umls:C0152268","Hodgkin's disease, nodular sclerosis (clinical)","2/113","17/17381",0.00534575998643202,0.0263011391332455,0.0175405237449544,"3627/29126",2
"umls:C1849193","umls:C1849193","PEELING SKIN SYNDROME","2/113","17/17381",0.00534575998643202,0.0263011391332455,0.0175405237449544,"10673/3569",2
"umls:C1854310","umls:C1854310","Hypotrichosis simplex","2/113","17/17381",0.00534575998643202,0.0263011391332455,0.0175405237449544,"3569/3576",2
"umls:C0555198","umls:C0555198","Malignant Glioma","8/113","412/17381",0.00547730152586909,0.0268715476568279,0.0179209355667212,"3627/3456/29126/3569/8743/834/6772/3576",8
"umls:C0023448","umls:C0023448","Lymphoid leukemia","6/113","247/17381",0.00553223878902374,0.0270639636213036,0.0180492599247156,"3456/129607/3569/634/3576/7128",6
"umls:C0398650","umls:C0398650","Immune thrombocytopenic purpura","4/113","109/17381",0.00558264132266684,0.0270961230636365,0.0180707074163625,"10673/3569/3669/6737",4
"umls:C1658953","umls:C1658953","tumor vasculature","4/113","109/17381",0.00558264132266684,0.0270961230636365,0.0180707074163625,"3627/3456/3569/8743",4
"umls:C0085648","umls:C0085648","Synovial Cyst","5/113","174/17381",0.00558601840162076,0.0270961230636365,0.0180707074163625,"10673/3569/7098/43/3659",5
"umls:C0035242","umls:C0035242","Respiratory Tract Diseases","3/113","56/17381",0.0057746556628403,0.0277764163447234,0.0185244026114636,"6352/7098/3576",3
"umls:C0746102","umls:C0746102","Chronic lung disease","3/113","56/17381",0.0057746556628403,0.0277764163447234,0.0185244026114636,"3569/6891/3576",3
"umls:C2349952","umls:C2349952","Oropharyngeal Carcinoma","3/113","56/17381",0.0057746556628403,0.0277764163447234,0.0185244026114636,"3569/5366/3576",3
"umls:C0577631","umls:C0577631","Carotid Atherosclerosis","4/113","111/17381",0.00595083467717574,0.0280225676779726,0.0186885636876753,"3569/6376/6772/3576",4
"umls:C0153381","umls:C0153381","Malignant neoplasm of mouth","8/113","418/17381",0.00596183824281512,0.0280225676779726,0.0186885636876753,"6352/29126/3569/8743/7098/6772/3576/1230",8
"umls:C0016057","umls:C0016057","Fibrosarcoma","6/113","251/17381",0.00597266776992875,0.0280225676779726,0.0186885636876753,"6373/6352/3569/8743/6772/3576",6
"umls:C0019104","umls:C0019104","Hemorrhagic Fevers, Viral","2/113","18/17381",0.00598856266288845,0.0280225676779726,0.0186885636876753,"7098/27074",2
"umls:C0042131","umls:C0042131","Uterine Diseases","2/113","18/17381",0.00598856266288845,0.0280225676779726,0.0186885636876753,"3569/7098",2
"umls:C0235950","umls:C0235950","Zinc deficiency","2/113","18/17381",0.00598856266288845,0.0280225676779726,0.0186885636876753,"3569/4502",2
"umls:C0518948","umls:C0518948","Chlamydia trachomatis infection","2/113","18/17381",0.00598856266288845,0.0280225676779726,0.0186885636876753,"3456/3576",2
"umls:C1136321","umls:C1136321","HIV-Associated Lipodystrophy Syndrome","2/113","18/17381",0.00598856266288845,0.0280225676779726,0.0186885636876753,"3569/3576",2
"umls:C1142553","umls:C1142553","Primary HIV infection","2/113","18/17381",0.00598856266288845,0.0280225676779726,0.0186885636876753,"3669/3659",2
"umls:C1801959","umls:C1801959","Histiocytic medullary reticulosis (disorder)","2/113","18/17381",0.00598856266288845,0.0280225676779726,0.0186885636876753,"10673/3669",2
"umls:C0010414","umls:C0010414","Infection by Cryptococcus neoformans","3/113","57/17381",0.00606696582437833,0.0282359868907554,0.0188308953467902,"6352/5806/3569",3
"umls:C0023281","umls:C0023281","Leishmaniasis","3/113","57/17381",0.00606696582437833,0.0282359868907554,0.0188308953467902,"3627/3569/3113",3
"umls:C0007682","umls:C0007682","CNS disorder","4/113","113/17381",0.00633487316051028,0.0294033735374628,0.0196094385533174,"3569/4939/43/4940",4
"umls:C0034152","umls:C0034152","Henoch-Schoenlein Purpura","3/113","58/17381",0.0063679819091381,0.0294775936761715,0.0196589367936323,"6352/3569/3576",3
"umls:C0018621","umls:C0018621","Hay fever","4/113","114/17381",0.00653292447207664,0.0301600427370401,0.0201140697023723,"6373/3627/3569/90865",4
"umls:C1559271","umls:C1559271","Non-Malignant Ascites Adverse Event","5/113","181/17381",0.00658053671010685,0.0302021859027074,0.0201421754507328,"29126/3569/8743/330/1230",5
"umls:C0010246","umls:C0010246","Coxsackievirus Infections","2/113","19/17381",0.00666482615739189,0.0302021859027074,0.0201421754507328,"7098/27074",2
"umls:C0013370","umls:C0013370","Amebic colitis","2/113","19/17381",0.00666482615739189,0.0302021859027074,0.0201421754507328,"834/3576",2
"umls:C0035854","umls:C0035854","Rosacea","2/113","19/17381",0.00666482615739189,0.0302021859027074,0.0201421754507328,"834/3122",2
"umls:C0041582","umls:C0041582","Ulcer","2/113","19/17381",0.00666482615739189,0.0302021859027074,0.0201421754507328,"3576/4599",2
"umls:C0409651","umls:C0409651","Seropositive rheumatoid arthritis","2/113","19/17381",0.00666482615739189,0.0302021859027074,0.0201421754507328,"10673/3113",2
"umls:C0751633","umls:C0751633","Carotid Artery Plaque","2/113","19/17381",0.00666482615739189,0.0302021859027074,0.0201421754507328,"6376/6772",2
"umls:C1258666","umls:C1258666","Myxoid cyst","5/113","182/17381",0.00673210248738489,0.0304269828957396,0.020292095078704,"10673/3569/7098/43/3659",5
"umls:C0013371","umls:C0013371","Shigella Infections","3/113","60/17381",0.00699638927866535,0.0313744331715149,0.0209239602604822,"3569/3576/2920",3
"umls:C0036205","umls:C0036205","Sarcoidosis, Pulmonary","3/113","60/17381",0.00699638927866535,0.0313744331715149,0.0209239602604822,"3627/6352/83666",3
"umls:C0392707","umls:C0392707","Atopy","3/113","60/17381",0.00699638927866535,0.0313744331715149,0.0209239602604822,"6352/3569/6890",3
"umls:C0162871","umls:C0162871","Aortic Aneurysm, Abdominal","5/113","186/17381",0.00736289138343694,0.0327273028503652,0.021826204174918,"3569/6376/3669/6772/3576",5
"umls:C0003496","umls:C0003496","Aortic Rupture","2/113","20/17381",0.00737409611262583,0.0327273028503652,0.021826204174918,"3569/6772",2
"umls:C0238013","umls:C0238013","invasive aspergillosis","2/113","20/17381",0.00737409611262583,0.0327273028503652,0.021826204174918,"3627/5806",2
"umls:C1832588","umls:C1832588","Chromosome 11p11.2 Deletion Syndrome","2/113","20/17381",0.00737409611262583,0.0327273028503652,0.021826204174918,"10673/3569",2
"umls:C2919032","umls:C2919032","Infection of amniotic sac and membranes, unspecified, unspecified trimester, not applicable or unspecified","5/113","187/17381",0.00752681835498762,0.0333192318953437,0.0222209682730118,"3569/7098/6890/3592/3576",5
"umls:C0023827","umls:C0023827","liposarcoma","4/113","120/17381",0.00780788892527995,0.0344220711271885,0.0229564640869018,"5806/29126/5371/10561",4
"umls:C0010674","umls:C0010674","Cystic Fibrosis","8/113","438/17381",0.00781592904223618,0.0344220711271885,0.0229564640869018,"3456/5806/3569/6890/6772/6891/43/3576",8
"umls:C0010276","umls:C0010276","Craniopharyngioma","2/113","21/17381",0.00811592257349463,0.0353813130925513,0.0235961932783015,"3569/8651",2
"umls:C0549493","umls:C0549493","Alveolitis","2/113","21/17381",0.00811592257349463,0.0353813130925513,0.0235961932783015,"6352/3576",2
"umls:C1302547","umls:C1302547","Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma","2/113","21/17381",0.00811592257349463,0.0353813130925513,0.0235961932783015,"6352/10673",2
"umls:C1384600","umls:C1384600","Systemic onset juvenile chronic arthritis","2/113","21/17381",0.00811592257349463,0.0353813130925513,0.0235961932783015,"3569/6772",2
"umls:C1519670","umls:C1519670","Tumor Angiogenesis","8/113","443/17381",0.00834086404553925,0.0362701209252995,0.0241889491591795,"3627/3456/6352/5806/54739/3569/634/3576",8
"umls:C0949690","umls:C0949690","Spondylarthritis","3/113","65/17381",0.0087240211606919,0.0378407164703059,0.025236396888015,"3569/5698/6772",3
"umls:C0015944","umls:C0015944","Fetal Membranes, Premature Rupture","5/113","194/17381",0.00874625118045137,0.0378418204340132,0.0252371331337542,"3569/7098/6890/3592/3576",5
"umls:C0005138","umls:C0005138","Berylliosis","2/113","22/17381",0.00888985994991755,0.038270847084395,0.0255232558035791,"3569/3113",2
"umls:C0041912","umls:C0041912","Upper Respiratory Infections","2/113","22/17381",0.00888985994991755,0.038270847084395,0.0255232558035791,"3569/3576",2
"umls:C0008495","umls:C0008495","Chorioamnionitis","5/113","195/17381",0.00893096263591981,0.0383519143617305,0.0255773204771978,"3569/7098/6890/3592/3576",5
"umls:C0341106","umls:C0341106","Eosinophilic esophagitis","3/113","66/17381",0.00909682757014099,0.038870315324523,0.0259230478752091,"8743/6772/90865",3
"umls:C0595936","umls:C0595936","Aqueous Humor Disorders","3/113","66/17381",0.00909682757014099,0.038870315324523,0.0259230478752091,"3569/5371/3576",3
"umls:C0023530","umls:C0023530","Leukopenia","5/113","197/17381",0.00930845384160935,0.0396761324634933,0.0264604563345383,"3437/8743/64078/6737/6773",5
"umls:C0494165","umls:C0494165","Secondary malignant neoplasm of liver","8/113","452/17381",0.00935206795685597,0.0397636074610024,0.0265187943883817,"3456/6352/3569/60489/8743/6364/634/3576",8
"umls:C0007115","umls:C0007115","Malignant neoplasm of thyroid","8/113","453/17381",0.00946984263226347,0.040152720118834,0.0267782979703209,"3620/3569/8743/6364/8651/634/3576/972",8
"umls:C0039483","umls:C0039483","Giant Cell Arteritis","4/113","127/17381",0.00949021898279062,0.040152720118834,0.0267782979703209,"6352/3569/90865/4599",4
"umls:C0024137","umls:C0024137","Lupus Erythematosus, Cutaneous","2/113","23/17381",0.00969546697991417,0.0406218835508812,0.0270911883085833,"3569/6737",2
"umls:C0043395","umls:C0043395","Yellow Fever","2/113","23/17381",0.00969546697991417,0.0406218835508812,0.0270911883085833,"6352/6773",2
"umls:C0263313","umls:C0263313","Pemphigus Foliaceus","2/113","23/17381",0.00969546697991417,0.0406218835508812,0.0270911883085833,"10673/3569",2
"umls:C0340543","umls:C0340543","Familial primary pulmonary hypertension","2/113","23/17381",0.00969546697991417,0.0406218835508812,0.0270911883085833,"51365/3576",2
"umls:C0032584","umls:C0032584","polyps","6/113","279/17381",0.0098029475889626,0.0409725139519262,0.0273250276432248,"3569/834/7098/8651/6737/634",6
"umls:C0153392","umls:C0153392","Malignant neoplasm of nasopharynx","3/113","68/17381",0.00987010855889649,0.0411533339913311,0.0274456185491425,"3569/6772/6773",3
"umls:C0038325","umls:C0038325","Stevens-Johnson Syndrome","3/113","69/17381",0.0102706706237978,0.0426475412193191,0.0284421220553073,"51554/7098/5371",3
"umls:C0009447","umls:C0009447","Common Variable Immunodeficiency","4/113","130/17381",0.0102780079012877,0.0426475412193191,0.0284421220553073,"10673/3569/3669/3592",4
"umls:C0022876","umls:C0022876","Premature Obstetric Labor","5/113","203/17381",0.0105067994541585,0.0427750757672375,0.0285271762712,"3569/7098/6890/3592/3576",5
"umls:C0009443","umls:C0009443","Common Cold","2/113","24/17381",0.0105323066929783,0.0427750757672375,0.0285271762712,"3627/3569",2
"umls:C0010403","umls:C0010403","Cryoglobulinemia","2/113","24/17381",0.0105323066929783,0.0427750757672375,0.0285271762712,"3627/10673",2
"umls:C0033581","umls:C0033581","prostatitis","2/113","24/17381",0.0105323066929783,0.0427750757672375,0.0285271762712,"3569/3576",2
"umls:C0343751","umls:C0343751","Asymptomatic human immunodeficiency virus infection","2/113","24/17381",0.0105323066929783,0.0427750757672375,0.0285271762712,"3627/3669",2
"umls:C0600040","umls:C0600040","Chronic interstitial cystitis","2/113","24/17381",0.0105323066929783,0.0427750757672375,0.0285271762712,"3569/3576",2
"umls:C0679247","umls:C0679247","Terminal illness","2/113","24/17381",0.0105323066929783,0.0427750757672375,0.0285271762712,"29126/3569",2
"umls:C0745091","umls:C0745091","Hypereosinophilia","2/113","24/17381",0.0105323066929783,0.0427750757672375,0.0285271762712,"3569/8743",2
"umls:C2931161","umls:C2931161","Immunoglobulin a deficiency 1","2/113","24/17381",0.0105323066929783,0.0427750757672375,0.0285271762712,"3569/64135",2
"umls:C1561643","umls:C1561643","Chronic Kidney Diseases","6/113","284/17381",0.0106370417737544,0.0430724570952646,0.0287255032037005,"6352/5806/3569/834/8651/3576",6
"umls:C0311375","umls:C0311375","Arsenic Poisoning","3/113","70/17381",0.0106805686293136,0.0430724570952646,0.0287255032037005,"5806/6364/2920",3
"umls:C0876973","umls:C0876973","Infectious disease of lung","3/113","70/17381",0.0106805686293136,0.0430724570952646,0.0287255032037005,"5806/3576/2920",3
"umls:C0220650","umls:C0220650","Metastatic malignant neoplasm to brain","4/113","133/17381",0.0111070377642232,0.0446876612850288,0.029802700936467,"5806/51191/8651/3576",4
"umls:C0206061","umls:C0206061","Pneumonia, Interstitial","2/113","25/17381",0.0113999463737389,0.0454414529064314,0.0303054129964648,"3569/3669",2
"umls:C0854135","umls:C0854135","Pseudomonas aeruginosa infection","2/113","25/17381",0.0113999463737389,0.0454414529064314,0.0303054129964648,"834/3576",2
"umls:C1275685","umls:C1275685","Avellino corneal dystrophy","2/113","25/17381",0.0113999463737389,0.0454414529064314,0.0303054129964648,"6373/51554",2
"umls:C1609538","umls:C1609538","Latent Tuberculosis","2/113","25/17381",0.0113999463737389,0.0454414529064314,0.0303054129964648,"3627/3669",2
"umls:C0030305","umls:C0030305","Pancreatitis","5/113","208/17381",0.0115830473961305,0.0460646827162511,0.0307210519245858,"6352/3569/834/7098/3576",5
"umls:C0149516","umls:C0149516","Chronic sinusitis","3/113","73/17381",0.0119666548471001,0.0474805982643006,0.031665341834068,"3569/3576/90865",3
"umls:C0003486","umls:C0003486","Aortic Aneurysm","5/113","210/17381",0.0120338398289861,0.0476374073230208,0.031769919548515,"3569/834/3669/6772/3576",5
"umls:C0007124","umls:C0007124","Noninfiltrating Intraductal Carcinoma","6/113","292/17381",0.0120747319831004,0.0476896524653645,0.0318047624180651,"3569/3669/6772/3592/3659/6495",6
"umls:C0001349","umls:C0001349","Acute-Phase Reaction","2/113","26/17381",0.012297957525905,0.0478037987801546,0.0318808878715989,"3569/4502",2
"umls:C0019101","umls:C0019101","Hemorrhagic Fever with Renal Syndrome","2/113","26/17381",0.012297957525905,0.0478037987801546,0.0318808878715989,"3669/90865",2
"umls:C0032300","umls:C0032300","Lobar Pneumonia","2/113","26/17381",0.012297957525905,0.0478037987801546,0.0318808878715989,"6352/3569",2
"umls:C0036974","umls:C0036974","Shock","2/113","26/17381",0.012297957525905,0.0478037987801546,0.0318808878715989,"3569/6890",2
"umls:C0038363","umls:C0038363","Aphthous Stomatitis","2/113","26/17381",0.012297957525905,0.0478037987801546,0.0318808878715989,"3569/3592",2
"umls:C0079298","umls:C0079298","Epidermolysis Bullosa Simplex","2/113","26/17381",0.012297957525905,0.0478037987801546,0.0318808878715989,"3569/3576",2
"umls:C0333997","umls:C0333997","Lymphoid hyperplasia","2/113","26/17381",0.012297957525905,0.0478037987801546,0.0318808878715989,"3627/6352",2
"umls:C0027686","umls:C0027686","Pathologic Neovascularization","3/113","74/17381",0.012414263376265,0.0479313038877316,0.0319659224533989,"8743/834/3576",3
"umls:C0085136","umls:C0085136","Central Nervous System Neoplasms","3/113","74/17381",0.012414263376265,0.0479313038877316,0.0319659224533989,"6352/3569/5371",3
"umls:C0085695","umls:C0085695","Chronic gastritis","3/113","74/17381",0.012414263376265,0.0479313038877316,0.0319659224533989,"3569/3576/11074",3
"umls:C0085669","umls:C0085669","Acute leukemia","8/113","478/17381",0.0127899057463712,0.049271180526289,0.0328595011639962,"3456/3569/8743/4005/6772/5371/3659/83666",8
